Designator,Component,Amount,Individual Cost,Total Cost,Vendor 1,Vendor 2,Vendor 3,Vendor 4,Vendor 5,Vendor 6
Teesny 4.0, Teensy 4.0 Development Board,1,23.99,23.99,https://www.digikey.com/en/products/detail/sparkfun-electronics/28368/26266461,https://www.microcenter.com/product/699942/TEENSY_40_Development_Board;_ARM_Cortex-M7_at_600_MHz;_1984K_Flash;_1024K_RAM_(512K_tightly_coupled);_1K_EEPROM,https://www.sparkfun.com/teensy-4-0.html,,,
3-Axis Accelerometer,SCA3300 D01,1,36,36,https://www.digikey.com/en/products/detail/murata-electronics/SCA3300-D01-1/7035232?gclsrc=aw.ds&gad_source=1&gad_campaignid=20509818233&gbraid=0AAAAADrbLliIcjrqVMi5YJrnhhunk7pG7&gclid=CjwKCAjwn4vQBhBsEiwAq3hhN0elxmjTnsaSMPtnOuBRxiZfDNKBbLswWNhBu4fcmtDSHRhrcOV1oRoCw0kQAvD_BwE,https://www.mouser.com/ProductDetail/Murata-Electronics/SCA3300-D01-1?qs=u4fy%2FsgLU9PJXg1inqbWiw%3D%3D&mgh=1&srsltid=AfmBOoo5w_bHQhotP1JWq5J8tlVAcH4xFZmzt7ol5I9sQqjm_8DwAZdzFb0,https://www.mouser.com/ProductDetail/Murata-Electronics/SCL3300-D01-10?qs=gZXFycFWdAOFydYBLsvu8Q%3D%3D&mgh=1&utm_id=22153776673&utm_source=google&utm_medium=cpc&utm_marketing_tactic=amermsp&gad_source=4&gad_campaignid=22292817760&gbraid=0AAAAADn_wf3QymbJx_FivSamJnBl6KkT-&gclid=Cj0KCQjwh-HPBhCIARIsAC0p3cdG3C1IMVfsvzTozhTdHhaFW2YxTRkTyLNrE5iaZvaIwgE2PqfwD9MaApoBEALw_wcB,,,
Micro SD card slot/tray,SD SDHC TF,1,2.5,2.5,https://abra-electronics.com/robotics-embedded-electronics/breakout-boards/storage/bb-microsd-tf-micro-sd-card-board-3-3v-mini-tf.html,https://www.amazon.com/ANMBEST-Adapter-Interface-Conversion-Arduino/dp/B08CMLG4D6/ref=sr_1_4?keywords=arduino+sd+card+reader&qid=1674158824&sprefix=arduino+sd%2Caps%2C89&sr=8-4,,,,
DS3231 real-time clock, DS3231M+,1,11.96,11.96,https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/DS3231M/2402420,https://www.mouser.com/ProductDetail/Analog-Devices-Maxim-Integrated/DS3231M%2b?qs=Bakm8ERcljpd4MQpcnSykw%3D%3D,,,,
N42 permanent magnet,"Q063L-N42 | 1-1/2""L x 1-1/2""W x 1/16""T Neodymium Block Magnet",1,6.46,6.46,https://www.kjmagnetics.com/dx46-neodymium-disc-magnet?srsltid=AfmBOor6xdKd7bOjkwacOuF57KK6eEEADTRnz0KJa9k1RQvZ_CWL3iT5,,,,,
2s 7.4V LiPo battery,Zeee 2S Lipo Battery 1500mAh 7.4V 60C with Deans Plug,1,18,18,https://zeeebattery.com/products/zeee-7-4v-60c-1500mah-2s-lipo-battery-deans-plug?variant=43953770299699&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1&gclid=CjwKCAjw7pO_BhAlEiwA4pMQvJInDAYww1F-RyBS_FKHJZs2q-GgKMjZj0IEfHsjSMYCjfxmAI9laxoCeRQQAvD_BwE,https://www.digikey.com/en/products/detail/sparkfun-electronics/11855/5271297?gclsrc=aw.ds&gad_source=1&gad_campaignid=20243136172&gbraid=0AAAAADrbLli4_Ap0H678W2amsXvkFFD8z&gclid=EAIaIQobChMI3euy76jsjQMVFDQIBR3Brw42EAQYAiABEgIY4fD_BwE,https://www.ebay.com/itm/374993811392?chn=ps&_trkparms=ispr%3D1&amdata=enc%3A1tgCSJr3fRSKT8fAa1Y7Mgw25&norover=1&mkevt=1&mkrid=711-117182-37290-0&mkcid=2&mkscid=101&itemid=374993811392&targetid=2321110923741&device=c&mktype=pla&googleloc=9198699&poi=&campaignid=21400684010&mkgroupid=173029508068&rlsatarget=pla-2321110923741&abcId=9448486&merchantid=6296724&gad_source=1&gad_campaignid=21400684010&gbraid=0AAAAAD_QDh_duznfnFnLJIwhwQSUm0oBU&gclid=EAIaIQobChMI3euy76jsjQMVFDQIBR3Brw42EAQYBSABEgL8OPD_BwE,,,
CR-1025 3V Li+ coin cell,CR-1025-ND,1,1.09,1.09,https://www.digikey.com/en/products/detail/panasonic-energy/CR-1025-BN/269738,https://www.ebay.com/itm/365610739537?chn=ps&mkevt=1&mkcid=28&google_free_listing_action=view_item&srsltid=AfmBOoporY_55WDnNvV2pejIbeRgMhPaBkQWl3ds383-qDG6cI2P8OGNJXw&com_cvv=8fb3d522dc163aeadb66e08cd7450cbbdddc64c6cf2e8891f6d48747c6d56d2c,,,,
RTC coin cell holder,2718,1,1.61,1.61,https://www.digikey.com/en/products/detail/kitronik-ltd/2718/8635448,https://www.mouser.com/ProductDetail/Harwin/S8211-46R?qs=Qom7kyPojXb0DJM7n6BsBw%3D%3D&mgh=1&srsltid=AfmBOoqiSti4iSxj_1JWPWWYF-3D2fGJ_xLCwihY8lmyFljWAt_DpeFkla8,,,,
Main PCB,Main board,1,8.23,8.23,https://oshpark.com/,,,,,
Slide switch,SPDT,1,0.38,0.38,https://www.digikey.com/en/products/detail/same-sky-formerly-cui-devices/SLW-129956-4A-RA-N-D/24399223,,,,,
